"time","BANE.CLOSE","SIBN.CLOSE","LKOH.CLOSE","ROSN.CLOSE","SNGS.CLOSE","TATN.CLOSE","IMOEX.CLOSE","MOEXOG.CLOSE"
2017-03-22,3692.5,198.8,3120.5,320.35,30.075,365.5,2061.53,5201.71
2017-03-23,3640,199.4,3066,317.95,29.55,359.95,2051.04,5133.81
2017-03-24,3662.5,200.5,3017.5,315.65,29.425,349,2039.77,5061.53
2017-03-27,3695.5,199.5,3003,309.8,29,347.35,2013.16,4976.37
2017-03-28,3789,198.6,3055,314.6,29.5,351.9,2032.54,5025.38
2017-03-29,3700,201.3,3061,322.2,29.53,354,2023.71,4997.14
2017-03-30,3632,204.5,2982,328.7,29.37,359.9,2021.88,4985.66
2017-03-31,3604,203.7,2981,323.5,29.45,347.65,1995.9,4929.22
2017-04-03,3649.5,207.95,3026.5,328.4,29.18,351,2008.61,4945.23
2017-04-04,3633,207.35,3050,331.7,29.535,352.35,2025.69,5013.26
2017-04-05,3685,208.05,3057,338.2,29.7,369.85,2056.32,5099.09
2017-04-06,3680,210.65,3057.5,337.95,30,369.45,2054.69,5089.95
2017-04-07,3590,207.3,2991,335.95,29.66,357.7,2020.23,5028.77
2017-04-10,3513,204.35,2956,327.2,28.5,343.3,1971.23,4901.83
2017-04-11,3545,202.6,2968,330.5,28.235,342.15,1977.95,4899.99
2017-04-12,3273.5,200.65,2949.5,325.1,27.32,334.95,1947.88,4827.87
2017-04-13,3319,199.9,2910,321.9,27.365,330,1944.7,4810.18
2017-04-14,3225,201.5,2864.5,315.75,26.785,325,1916.29,4724.35
2017-04-17,3300,205.7,2880,323.25,27.21,329,1942.72,4766.83
2017-04-18,3285,206.3,2828.5,318.4,26.965,323.25,1920.29,4725
2017-04-19,3398.5,203.5,2859,315.05,26.54,326.65,1916.5,4715.04
2017-04-20,3224,200.85,2858,316.6,26.49,324.45,1932.17,4741.56
2017-04-21,3216,200.45,2850,317.4,26.675,326.85,1944.72,4792.74
2017-04-24,3340,199.4,2919,320.3,27.135,331.6,1979.57,4880.23
2017-04-25,3438,200,2957,320.15,27.64,335.1,1998.41,4935.49
2017-04-26,3300,200.15,2970,326.05,28.56,339.8,2026.92,5030.27
2017-04-27,3300,197.9,2885,318.35,28.13,361.2,2011.67,4980.01
2017-04-28,3173,200.35,2818,317.25,27.91,377,2016.71,4996.42
2017-05-02,3187,202,2864,316,28.105,371.35,2026.85,4990.9
2017-05-03,3124,200.85,2770,311.65,28.505,361,1993.66,4952.93
2017-05-04,3146,199.7,2780,310,28.615,368.25,1998.87,4979.15
2017-05-05,3140,199.25,2811.5,312.45,28.46,368.3,2002.41,4972.7
2017-05-10,3220,198.9,2917,315.05,29.2,373.5,2028.21,5008.62
2017-05-11,3255,197,2840,312.35,28.7,372.35,2002.54,4979.45
2017-05-12,3135,196.55,2856,307.5,28.5,375.5,1994.58,4951.71
2017-05-15,3199,196.4,2876,314.15,28.22,386.5,2003.12,4972.91
2017-05-16,3124,192.7,2890.5,312.9,28.075,384,1992.94,4922.79
2017-05-17,3030,192.8,2870,311.55,28.25,393.5,1994.35,4914.11
2017-05-18,2941,193.4,2877,305,27.84,392.8,1967.66,4853.27
2017-05-19,2950,193.55,2850,306.1,27.25,392.25,1962.4,4832.28
2017-05-22,2934,195.35,2811,307.3,26.9,389.35,1950.51,4799.23
2017-05-23,2964,196.2,2825,312.4,27.81,392,1960.16,4833.12
2017-05-24,2890,197.8,2804,307,27.695,400,1951.98,4805.91
2017-05-25,2920,201.4,2798,306.4,29.36,389.5,1947.26,4831.92
2017-05-26,2979,199.95,2796.5,304,29.705,388,1934.25,4777.63
2017-05-29,2980,198.1,2794.5,307.25,30.99,388.8,1940.77,4802.44
2017-05-30,2921,202.45,2825,305,31.18,387,1932.91,4793.06
2017-05-31,2757,202,2753,301.55,30.28,384.5,1900.38,4717.99
2017-06-01,2798,198,2700,301.45,27.15,378.45,1869.66,4611.35
2017-06-02,2643,196,2734,301,26.62,380.3,1881.87,4614.26
2017-06-05,2615,198.95,2734.5,305,26.985,376.3,1877.69,4611.33
2017-06-06,2699,200.25,2721.5,302.55,26.815,363.4,1870.04,4576.1
2017-06-07,2603,198.4,2705,308,26.36,358,1868.42,4569.38
2017-06-08,2595,196.05,2735,307.5,26.195,359.9,1874.21,4594.64
2017-06-09,2625,196.45,2774,306,26.23,360,1883.34,4612.07
2017-06-13,2532,194.3,2760.5,312.15,25.795,360.3,1861.27,4574.26
2017-06-14,2325,190.4,2730,304.3,25.2,365.65,1838.32,4538.17
2017-06-15,2400,187,2712,301.6,24.81,365,1817.82,4515.81
2017-06-16,2595,186.65,2685,306.5,24.89,350.1,1822.91,4517.43
2017-06-19,2580,188.4,2779.5,311,24.85,368.55,1849.78,4599.9
2017-06-20,2553,189.25,2769,316,25.785,369,1857.96,4629.29
2017-06-21,2600,192,2728.5,318.4,25.5,376.4,1850.81,4623.53
2017-06-22,2480,192.4,2760.5,319,25.67,373.1,1860.05,4656.53
