<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SNGS,D,20/03/15,00:00:00,34.6100000,36.1000000,34.2100000,35.2250000,47789500
SNGS,D,23/03/15,00:00:00,35.5200000,35.8800000,34.5050000,34.5950000,23660100
SNGS,D,24/03/15,00:00:00,34.5950000,35.8500000,34.5050000,35.8450000,22192700
SNGS,D,25/03/15,00:00:00,35.8450000,36.6650000,35.5450000,36.3550000,30259600
SNGS,D,26/03/15,00:00:00,36.5750000,36.6850000,34.7250000,34.7300000,24564300
SNGS,D,27/03/15,00:00:00,34.7400000,35.4500000,34.5650000,35.1000000,18559000
SNGS,D,30/03/15,00:00:00,35.1000000,36.4700000,34.9650000,35.6900000,23134900
SNGS,D,31/03/15,00:00:00,35.6950000,36.9600000,35.0000000,35.1000000,34492600
SNGS,D,01/04/15,00:00:00,35.1000000,36.2000000,34.9000000,35.9900000,27167600
SNGS,D,02/04/15,00:00:00,36.1100000,37.3300000,35.7850000,37.0000000,38269100
SNGS,D,03/04/15,00:00:00,37.0400000,37.7450000,36.5450000,36.6900000,15740600
SNGS,D,06/04/15,00:00:00,36.7500000,37.3600000,36.4150000,37.3300000,14685800
SNGS,D,07/04/15,00:00:00,37.3000000,37.5800000,36.7100000,37.3900000,13963100
SNGS,D,08/04/15,00:00:00,37.3050000,37.3100000,36.5150000,36.7000000,17619100
SNGS,D,09/04/15,00:00:00,36.7100000,36.8950000,36.0200000,36.8350000,21887600
SNGS,D,10/04/15,00:00:00,36.7450000,36.8300000,35.4100000,35.9900000,24528400
SNGS,D,13/04/15,00:00:00,36.0250000,37.3000000,35.9200000,36.8000000,21507300
SNGS,D,14/04/15,00:00:00,36.7550000,37.4000000,36.3150000,36.9500000,19041100
SNGS,D,15/04/15,00:00:00,36.9850000,37.4500000,36.4400000,37.2500000,19398500
SNGS,D,16/04/15,00:00:00,37.3900000,39.0000000,36.6500000,39.0000000,40178600
SNGS,D,17/04/15,00:00:00,38.9550000,39.8000000,37.5000000,37.5000000,38879300
SNGS,D,20/04/15,00:00:00,37.6500000,38.4750000,37.3700000,37.3950000,27886600
SNGS,D,21/04/15,00:00:00,37.4100000,37.9700000,36.9200000,37.2050000,20607100
SNGS,D,22/04/15,00:00:00,37.2950000,37.5600000,36.4350000,36.4600000,14659300
SNGS,D,23/04/15,00:00:00,36.6300000,36.7550000,35.1700000,35.6000000,24194300
SNGS,D,24/04/15,00:00:00,35.7100000,37.0000000,35.5150000,36.8000000,32620100
SNGS,D,27/04/15,00:00:00,36.8900000,37.3000000,36.2100000,36.2100000,16565100
SNGS,D,28/04/15,00:00:00,36.2450000,36.9300000,35.9400000,36.4000000,18937200
SNGS,D,29/04/15,00:00:00,36.3900000,36.9500000,36.1850000,36.5050000,12317800
SNGS,D,30/04/15,00:00:00,36.5850000,38.4000000,36.4050000,38.4000000,26302400
SNGS,D,05/05/15,00:00:00,38.3050000,39.1650000,37.9100000,38.3900000,25160100
SNGS,D,06/05/15,00:00:00,38.3900000,38.4950000,37.0250000,37.3500000,21407600
SNGS,D,07/05/15,00:00:00,37.2700000,37.3500000,36.0200000,36.5000000,20027300
SNGS,D,08/05/15,00:00:00,36.4400000,36.6850000,36.0000000,36.4500000,20159300
SNGS,D,12/05/15,00:00:00,36.6400000,36.7200000,34.8100000,35.4400000,35984900
SNGS,D,13/05/15,00:00:00,35.4400000,35.9100000,35.0750000,35.1250000,24176900
SNGS,D,14/05/15,00:00:00,35.2400000,35.7900000,34.8200000,35.0000000,13196200
SNGS,D,15/05/15,00:00:00,35.2400000,36.7550000,35.2250000,35.9400000,36465500
SNGS,D,18/05/15,00:00:00,36.0250000,36.2500000,35.3500000,35.3500000,13555500
SNGS,D,19/05/15,00:00:00,35.4100000,35.4800000,33.8350000,34.3950000,22399100
SNGS,D,20/05/15,00:00:00,34.5000000,34.5700000,33.3100000,33.3500000,17109000
SNGS,D,21/05/15,00:00:00,33.4000000,35.0500000,33.2000000,35.0000000,22091200
SNGS,D,22/05/15,00:00:00,34.8950000,35.2500000,34.1400000,34.6000000,16557300
